HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
Lyon,Nice,1,0,H,1,0,H,19,1,6,0,12,17,7,1,1,3,0,0
Nancy,Valenciennes,2,0,H,1,0,H,25,7,10,0,15,18,10,3,2,4,0,0
Nice,Montpellier,0,1,A,0,0,D,9,14,3,10,12,17,3,5,2,3,0,0
Paris SG,Caen,2,1,H,1,0,H,11,13,3,1,14,13,6,5,2,2,0,0
Rennes,Brest,2,1,H,1,0,H,17,7,6,2,14,12,3,5,1,2,0,0
Sochaux,Lorient,2,0,H,1,0,H,11,6,4,2,14,10,4,5,0,0,0,0
St Etienne,Auxerre,1,1,D,0,1,A,13,13,1,4,20,17,6,3,1,1,0,0
Toulouse,Marseille,0,1,A,0,0,D,11,20,1,4,19,18,3,3,0,1,0,0
Arles,Bordeaux,2,4,A,1,2,A,9,30,5,9,19,11,6,8,3,1,1,0
Lens,Lyon,1,3,A,1,0,H,3,11,1,5,12,15,4,2,2,1,0,0
Lille,Monaco,2,1,H,1,0,H,23,3,8,2,9,13,12,3,0,2,0,0
Bordeaux,Lille,1,1,D,0,1,A,7,8,1,2,20,15,3,8,1,1,0,0
Lorient,Rennes,2,0,H,0,0,D,15,4,8,1,15,18,6,2,2,1,0,0
Marseille,Montpellier,4,0,H,2,0,H,10,16,6,3,15,15,1,7,1,2,0,0
Monaco,Nice,1,1,D,0,0,D,14,8,2,2,29,12,6,1,0,3,0,1
Nancy,St Etienne,1,1,D,0,0,D,18,15,4,6,16,20,5,3,0,2,0,0
Valenciennes,Arles,3,0,H,1,0,H,20,10,8,1,24,21,6,9,3,3,0,0
Auxerre,Toulouse,1,2,A,0,2,A,13,9,3,5,18,16,3,2,3,2,0,0
Caen,Sochaux,0,3,A,0,1,A,19,9,4,4,15,12,8,5,1,2,0,0
Lyon,Paris SG,2,2,D,0,0,D,27,11,5,4,15,8,11,4,2,1,1,0
Brest,Lens,4,1,H,2,1,H,14,13,6,5,19,14,3,11,1,1,0,0
Marseille,Rennes,0,0,D,0,0,D,19,12,5,4,13,16,5,6,2,1,0,0
Valenciennes,St Etienne,1,1,D,0,1,A,25,6,8,4,11,16,8,3,1,1,0,0
Arles,Nancy,1,1,D,1,1,D,14,7,2,1,23,27,3,6,2,4,0,0
Lens,Auxerre,1,1,D,1,0,H,17,13,2,3,13,14,8,8,1,1,0,0
Lille,Lorient,6,3,H,2,2,D,22,7,11,4,14,7,4,4,2,2,0,1
Montpellier,Lyon,1,2,A,0,1,A,17,8,6,5,16,19,7,1,3,2,0,0
Rennes,Monaco,1,0,H,0,0,D,9,10,2,3,17,12,4,1,2,3,0,0
Sochaux,Valenciennes,2,1,H,1,0,H,18,13,8,6,14,11,5,3,1,1,0,0
Toulouse,Caen,1,0,H,0,0,D,12,10,4,4,13,21,3,5,0,3,0,0
Nice,Marseille,1,0,H,0,0,D,7,14,1,6,14,23,5,6,3,3,0,0
Paris SG,Brest,3,1,H,1,0,H,14,16,5,6,17,13,6,6,2,0,0,0
St Etienne,Bordeaux,2,2,D,0,1,A,14,7,9,4,16,19,6,2,0,2,0,0
Arles,Lille,0,1,A,0,0,D,9,10,2,4,14,15,3,4,2,2,1,0
Auxerre,Marseille,1,1,D,1,1,D,14,13,3,3,12,12,0,10,3,1,0,1
Brest,Montpellier,0,0,D,0,0,D,8,12,3,3,11,19,6,4,0,2,0,0
Caen,Nice,0,0,D,0,0,D,9,13,1,2,19,15,7,5,2,3,0,0
Lorient,Lens,3,0,H,0,0,D,12,14,8,5,17,18,1,7,0,1,0,0
Nancy,Sochaux,1,0,H,0,0,D,16,15,6,4,20,23,3,7,2,1,0,0
Valenciennes,Paris SG,1,2,A,0,0,D,11,22,5,12,10,17,3,8,1,1,0,0
Bordeaux,Rennes,0,0,D,0,0,D,12,3,3,1,9,13,6,4,0,2,0,0
Lyon,Toulouse,2,0,H,2,0,H,12,8,6,4,12,14,2,2,0,1,0,0
Monaco,St Etienne,0,2,A,0,1,A,13,9,3,3,15,14,2,3,2,1,0,0
Montpellier,Auxerre,1,1,D,0,0,D,12,9,4,3,16,21,2,1,3,1,0,0
Nice,Brest,1,1,D,1,1,D,13,13,5,3,13,13,5,3,1,3,0,0
Paris SG,Monaco,2,2,D,1,1,D,17,13,8,4,18,11,11,5,1,3,0,0
Rennes,Valenciennes,1,0,H,0,0,D,14,7,3,3,13,12,6,1,1,2,0,0
St Etienne,Arles,2,0,H,0,0,D,22,6,6,2,17,16,8,1,0,3,0,1
Toulouse,Lorient,3,0,H,1,0,H,7,9,4,3,17,13,3,5,1,0,0,0
Marseille,Lyon,1,1,D,0,1,A,13,11,3,3,17,16,5,1,2,1,0,0
Sochaux,Bordeaux,1,1,D,1,1,D,15,14,5,7,15,13,1,7,0,2,0,0
Lorient,Montpellier,0,0,D,0,0,D,14,7,4,2,18,26,3,0,1,2,0,1
Arles,Nice,0,0,D,0,0,D,10,11,2,1,12,14,4,6,1,2,0,0
Bordeaux,Lens,2,2,D,0,2,A,18,7,9,3,17,19,13,3,2,4,1,0
Brest,Marseille,0,0,D,0,0,D,5,13,1,2,10,21,5,5,0,3,0,1
Caen,Rennes,1,0,H,1,0,H,8,15,3,4,18,13,2,5,1,1,0,0
Lille,St Etienne,1,1,D,0,0,D,14,7,2,4,11,16,5,0,1,1,0,0
Lyon,Auxerre,1,1,D,1,0,H,19,10,3,4,15,19,5,2,2,4,0,0
Monaco,Sochaux,2,1,H,1,0,H,16,11,2,3,17,17,1,6,2,0,0,1
Nancy,Paris SG,2,0,H,0,0,D,23,16,8,3,14,13,12,10,3,3,0,1
Valenciennes,Toulouse,2,1,H,2,1,H,10,11,4,3,19,20,2,5,1,2,0,0
Auxerre,Monaco,1,1,D,1,0,H,10,16,6,3,16,10,4,5,1,1,0,0
Brest,Caen,1,3,A,1,1,D,24,15,9,7,18,17,4,2,2,3,0,1
Lens,St Etienne,2,1,H,0,0,D,10,9,3,3,15,20,5,3,3,0,0,0
Lyon,Lorient,3,0,H,1,0,H,20,8,11,2,23,13,5,2,1,3,0,0
Montpellier,Valenciennes,2,1,H,0,0,D,15,10,6,6,17,17,3,5,1,0,1,1
Nice,Lille,0,2,A,0,1,A,6,24,2,10,10,14,2,10,2,2,0,0
Paris SG,Sochaux,2,1,H,2,1,H,10,7,3,4,16,21,7,2,2,3,0,0
Rennes,Arles,4,0,H,2,0,H,13,7,8,1,9,20,8,4,1,2,0,1
Toulouse,Nancy,1,0,H,1,0,H,10,14,4,3,21,18,3,5,0,3,0,0
Marseille,Bordeaux,2,1,H,2,0,H,9,5,4,2,22,18,6,2,2,1,0,0
Lille,Nancy,3,0,H,0,0,D,22,7,9,1,15,21,6,3,3,1,0,1
Lens,Caen,2,0,H,1,0,H,12,7,6,3,18,16,1,1,0,0,0,0
Arles,Paris SG,1,2,A,0,1,A,11,12,3,7,11,10,2,2,1,3,0,0
Caen,Auxerre,2,0,H,0,0,D,16,12,6,4,12,18,6,2,1,3,0,0
Lille,Lens,1,0,H,0,0,D,9,5,2,0,15,19,7,1,1,2,0,0
Lorient,Brest,2,0,H,0,0,D,9,5,3,0,9,21,5,3,1,1,0,0
Sochaux,Rennes,5,1,H,2,0,H,15,14,10,3,15,12,4,3,0,1,0,1
St Etienne,Toulouse,2,1,H,2,0,H,9,9,5,5,22,18,1,6,3,2,0,0
Valenciennes,Lyon,2,1,H,0,0,D,17,20,3,5,16,17,3,7,1,2,0,0
Bordeaux,Nice,2,0,H,1,0,H,16,3,5,1,15,25,6,3,2,4,0,0
Monaco,Marseille,0,0,D,0,0,D,11,10,4,1,12,17,4,9,2,2,0,0
Nancy,Montpellier,1,2,A,1,1,D,16,14,11,5,15,20,7,5,0,2,0,0
Brest,Nancy,2,1,H,1,0,H,14,10,5,4,23,14,6,5,1,2,0,0
Caen,Lorient,0,2,A,0,1,A,12,12,4,8,16,14,8,6,1,2,0,0
Lens,Valenciennes,1,1,D,1,1,D,13,8,4,2,17,15,5,3,2,5,0,0
Marseille,Arles,1,0,H,0,0,D,13,13,5,2,12,25,5,7,0,1,0,0
Montpellier,St Etienne,1,2,A,0,2,A,14,7,4,5,16,22,2,3,3,3,0,0
Nice,Sochaux,1,0,H,1,0,H,15,10,8,1,17,28,7,5,3,2,0,1
Rennes,Paris SG,1,0,H,1,0,H,17,13,5,5,11,20,4,7,0,2,0,0
Auxerre,Lille,1,1,D,0,1,A,8,8,3,1,20,14,7,3,3,2,0,0
Lyon,Bordeaux,0,0,D,0,0,D,15,10,5,1,18,17,11,1,1,2,0,0
Toulouse,Monaco,2,0,H,0,0,D,12,10,5,2,23,13,4,1,1,1,0,0
Arles,Montpellier,0,0,D,0,0,D,7,14,0,4,16,20,4,6,2,1,0,0
Bordeaux,Caen,1,2,A,0,1,A,19,6,6,4,17,24,15,3,0,5,0,0
Monaco,Lorient,3,1,H,1,1,D,13,9,6,4,16,22,2,5,2,2,0,1
