,Position10_11,Club,Matches10_11,Wins10_11,Draws10_11,Losses10_11,GoalsScored10_11,GoalsConceded10_11,GoalDiff10_11,Points10_11,Position11_12,Matches11_12,Wins11_12,Draws11_12,Losses11_12,GoalsScored11_12,GoalsConceded11_12,GoalDiff11_12,Points11_12,Position12_13,Matches12_13,Wins12_13,Draws12_13,Losses12_13,GoalsScored12_13,GoalsConceded12_13,GoalDiff12_13,Points12_13,Position13_14,Matches13_14,Wins13_14,Draws13_14,Losses13_14,GoalsScored13_14,GoalsConceded13_14,GoalDiff13_14,Points13_14,Position14_15,Matches14_15,Wins14_15,Draws14_15,Losses14_15,GoalsScored14_15,GoalsConceded14_15,GoalDiff14_15,Points14_15,Position15_16,Matches15_16,Wins15_16,Draws15_16,Losses15_16,GoalsScored15_16,GoalsConceded15_16,GoalDiff15_16,Points15_16,Position16_17,Matches16_17,Wins16_17,Draws16_17,Losses16_17,GoalsScored16_17,GoalsConceded16_17,GoalDiff16_17,Points16_17,Position17_18,Matches17_18,Wins17_18,Draws17_18,Losses17_18,GoalsScored17_18,GoalsConceded17_18,GoalDiff17_18,Points17_18,Position18_19,Matches18_19,Wins18_19,Draws18_19,Losses18_19,GoalsScored18_19,GoalsConceded18_19,GoalDiff18_19,Points18_19,Position19_20,Matches19_20,Wins19_20,Draws19_20,Losses19_20,GoalsScored19_20,GoalsConceded19_20,GoalDiff19_20,Points19_20
26,,Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,16,38,10,7,21,38,53,-15,37,18,38,8,11,19,33,51,-18,35,,,,,,,,,,18,38,9,7,22,37,80,-43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,20,38,7,9,22,32,74,-42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,38,10,4,24,34,69,-35,34,,,,,,,,,
28,,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,38,11,8,19,46,55,-9,41,1,38,23,12,3,68,36,32,81,12,38,12,8,18,48,63,-15,44,9,38,12,11,15,56,60,-4,47,9,38,15,7,16,51,48,3,52,5,38,18,8,12,67,41,26,62
29,,Burnley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,38,7,12,19,28,53,-25,33,,,,,,,,,,16,38,11,7,20,39,55,-16,40,7,38,14,12,12,36,39,-3,54,15,38,11,7,20,45,68,-23,40,10,38,15,9,14,43,50,-7,54
30,,Watford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,38,12,9,17,40,50,-10,45,17,38,11,7,20,40,68,-28,40,14,38,11,8,19,44,64,-20,41,11,38,14,8,16,52,59,-7,50,19,38,8,10,20,36,64,-28,34
31,,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,38,11,9,18,45,67,-22,42,9,38,12,10,16,55,67,-12,46,12,38,11,11,16,45,61,-16,44,14,38,13,6,19,56,70,-14,45,18,38,9,7,22,40,65,-25,34
32,,Middlesbrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,38,5,13,20,27,53,-26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,38,9,13,16,34,54,-20,40,17,38,9,9,20,35,60,-25,36,15,38,9,14,15,39,54,-15,41
34,,Huddersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,38,9,10,19,28,58,-30,37,20,38,3,7,28,22,76,-54,16,,,,,,,,,
35,,Sheffield United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,38,14,12,12,39,39,0,54
